path,size_bytes,sha256,spdx_license,file_type,remark
.github/copilot-instructions.md,9422,d23fa9bb8a521df26af102287931586fe08d386791e82c9251656b3982fa2367,UNKNOWN,doc,
.gitignore,279,af51194a5d50cc0665c3209123f9e904cff4829ae34755ae701d864f26bc898c,UNKNOWN,config,
CHANGELOG.md,113,e32d240558e6b400bf3ec21ed212d13303b5f5c2a195e61da078eabbea477fb7,UNKNOWN,doc,
CONTRIBUTING.md,1431,7c314e85efd3f3382b6e5ea473caec4b23ff1c62f6f09bf2d9be736fd3fe8aba,UNKNOWN,doc,
LICENSE,1072,53fc6aa5b9d0c4d9fc432655fb95ded7fba7affb39ec920759c7e980af149e0e,MIT,doc,
README.md,4978,171eda2234468915258fd12dfde6783b9327f853587b0405a0d616f751289d2e,UNKNOWN,doc,
SECURITY.md,619,ba9643955bfcb04524a6fe5a8c2929b54abc2e67bb3480ce806e742d506e4dc9,UNKNOWN,doc,
config.js,1245,c862676c3ac417b1c14af94f52b9488154cb102e1191a87d6a1bebc5d06256e5,UNKNOWN,code,
index.html,3790,273e48d0eff400f2b475e752ab854fb15f64df3ec4648e94bf14b8070de77a90,UNKNOWN,code,
js/app.js,5201,eec5be4da03a2ff6a7481416f08f336038c4699ae49850526b7d87462ecbe3d5,UNKNOWN,code,
js/modules/chartModule.js,5321,d4672b1d7283ebcc135144b9c9772a3d2e80298f981c49f9572f21e46bdf1c62,UNKNOWN,code,
js/modules/dataService.js,4364,c324f2dfbb8d52d8049ef61d0cad3fa75b7e1da39e169b752f6a863d6fd6dec9,UNKNOWN,code,
js/modules/orderBookModule.js,3603,759ecd22a7d0ad58fc1a272a0c0be207876346657234203aa6d6c399e716cbab,UNKNOWN,code,
js/modules/portfolioModule.js,2457,0065a61199c51639a7400072c0ac9089a60a1dfec8445e031356d39fc8a13589,UNKNOWN,code,
js/modules/tradesModule.js,2694,9fc361b0cd19a5270d0972bc109b2269cb02661e48a062a65e78b773438900b2,UNKNOWN,code,
js/modules/watchlistModule.js,2577,728baaed0f3ee4bea248bbad21e6fc8281834e4c2e9e5b235b3ccce7db541318,UNKNOWN,code,
js/utils/formatters.js,2084,758ab41428af9291cf82374ca6ef01429a36b71af1c7406e15c02de6f37bee04,UNKNOWN,code,
js/utils/helpers.js,1909,86b69d540dd6b9a23954841a0a98700a43e91826b337a43345ff41f2defca055,UNKNOWN,code,
requirements.txt,77,e055731b0b821bb5ab6508e3aa18402a90d06a5b65c408f42f466234d61d60cf,UNKNOWN,config,
styles/charts.css,1185,dfac196a3e2aa314e977ef95c8a502aeaf0655d396215f362e699020040b9dbc,UNKNOWN,code,
styles/dashboard.css,3190,56876dcb6be297f6bbc46ad632cc6818280894e5e0a78ff2a1d5c7b14f4e91f3,UNKNOWN,code,
styles/main.css,2228,9df92a3e86879eb08a9b103f36224f123265c494a242823096d177fa3a0d6830,UNKNOWN,code,
